Wave function, E=  10.000 entrance channel= 1
 Internal wave functions
  12.781  5.1777E-01  1.1878E+00
  12.819  5.9300E-01  1.1337E+00
  12.900  7.4156E-01  1.0008E+00
  13.043  9.5932E-01  7.1413E-01
  13.241  1.1441E+00  2.3525E-01
  13.486  1.1441E+00 -3.9639E-01
  13.769  8.2451E-01 -1.0029E+00
  14.078  1.8902E-01 -1.3021E+00
  14.400 -5.4480E-01 -1.0811E+00
  14.722 -1.0412E+00 -3.9375E-01
  15.031 -1.0802E+00  4.3401E-01
  15.314 -7.0989E-01  1.0370E+00
  15.559 -1.6954E-01  1.2550E+00
  15.757  3.0935E-01  1.1695E+00
  15.900  6.2240E-01  9.6780E-01
  15.981  7.7454E-01  8.0781E-01
 External wave functions
  15.981  7.7454E-01  8.0781E-01
  16.181  1.0316E+00  3.1254E-01
  16.381  1.0818E+00 -2.4510E-01
  16.581  9.1215E-01 -7.5267E-01
  16.781  5.5481E-01 -1.1050E+00
  16.981  8.1934E-02 -1.2268E+00
  17.181 -4.0803E-01 -1.0895E+00
  17.381 -8.1064E-01 -7.1961E-01
  17.581 -1.0380E+00 -1.9443E-01
  17.781 -1.0386E+00  3.7300E-01
  17.981 -8.1012E-01  8.5791E-01
  18.181 -4.0120E-01  1.1515E+00
